post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
49468834,Previewing the Model Hardware Standard,worldnews,136,62,surprisetalk,2026-09-01 15:24:24.844348,0.45255474452554745,True
49464391,"US Government designates host of noblogs.org a ""global terrorist""",worldnews,286,160,robtherobber,2026-09-01 15:24:24.844379,0.5574912891986062,True
49466715,Launch HN: Salem Robotics (YC S26) – Software for industrial inspection robots,worldnews,49,31,Salem_robotics,2026-09-01 15:24:24.844406,0.62,False
49444232,Harvest (IBM 7950): Supercomputer for cryptanalysis at the NSA in the Cold War,worldnews,101,25,jnord,2026-09-01 15:24:24.844432,0.24509803921568626,False
49511932,A ballooning problem: Weather warnings face rising risks from DOGE cuts,worldnews,16,1,throw0101a,2026-09-01 15:24:24.844501,0.058823529411764705,False
49490702,GrapheneOS project: pixel 11 no longer supports hardware memory tagging (MTE),worldnews,319,190,400thecat,2026-09-01 15:24:24.844521,0.59375,True
49489939,Global Trade and the United States Navy,worldnews,11,2,Pwntheon,2026-09-01 15:24:24.844537,0.16666666666666666,False
49516199,Evidence of Fraud in an Influential Study About Procrastination,sports,234,163,Anon84,2026-09-01 15:24:24.844568,0.6936170212765957,True
49516699,2004 RuneScape fit a multiplayer RPG into 56k dial-up,sports,112,57,fagnerbrack,2026-09-01 15:24:24.844580,0.504424778761062,False
49491778,Optimal transport is art: images to collection of optimally placed particles,sports,8,2,adec314,2026-09-01 15:24:24.844591,0.2222222222222222,False
49506182,A 12TB Steam “teraleak” spills more than a decade of lost PC gaming history,sports,375,83,WithinReason,2026-09-01 15:24:24.844604,0.22074468085106383,True
49511400,Show HN: Corporate Mind Games – logic puzzles with a sarcastic corporate theme,sports,46,13,dontwordle,2026-09-01 15:24:24.844630,0.2765957446808511,False
49497819,An implementation of Conway's Game of Life for Windows 3.1x and later,sports,56,14,Bluestein,2026-09-01 15:24:24.844655,0.24561403508771928,False
49456819,Europe's last regular standard-gauge steam passenger service,sports,119,27,GungulSurm,2026-09-01 15:24:24.844671,0.225,False
49513130,"I built a multiplayer version of the 4,500-year-old Royal Game of Ur",sports,7,3,potentdream,2026-09-01 15:24:24.844694,0.375,False
49504900,Pentagon installs military influencers in civilian roles,sports,39,3,dataflow,2026-09-01 15:24:24.844706,0.075,False
49499924,12TB Steam leak reveals unseen Half-Life 2: Episode 3 builds,sports,37,10,sbulaev,2026-09-01 15:24:24.844732,0.2631578947368421,False
49445252,Disrupting a new covert influence campaign from Russia,sports,97,66,sam_lowry_,2026-09-01 15:24:24.844753,0.673469387755102,False
49477217,"Show HN: Texttile, a multiplayer blog engine for people who write together",sports,13,2,klausbreyer,2026-09-01 15:24:24.844772,0.14285714285714285,False
49477925,Interactive pattern discovery in binaries (FF-16-TUI),science,32,3,HexLasso,2026-09-01 15:24:24.844810,0.09090909090909091,False
49502214,Cores in space: The core memory module from a 1980 Spacelab computer,science,131,24,pwg,2026-09-01 15:24:24.844952,0.18181818181818182,True
49515959,Cardiac imaging study found plaque in 34.6% of men in their 30s,science,8,4,brandonb,2026-09-01 15:24:24.844987,0.4444444444444444,False
49490870,Nancy Grace Roman Space Telescope,science,294,104,JumpCrisscross,2026-09-01 15:24:24.845018,0.3525423728813559,True
49481455,Autonomous Mathematical Discovery in an Open-World Multi-Agent Environment,science,121,40,stephenchung,2026-09-01 15:24:24.845031,0.32786885245901637,False
49420524,"Show HN: Galaxium, an experimental WebGPU space explorer",science,135,40,guillaumec,2026-09-01 15:24:24.845041,0.29411764705882354,True
49486172,Our decision on Cursor following its acquisition by SpaceX,science,844,538,meetpateltech,2026-09-01 15:24:24.845064,0.6366863905325444,True
49516583,OpenAI to Cut Off AI Models for SpaceX-Owned Cursor,science,5,1,m463,2026-09-01 15:24:24.845075,0.16666666666666666,False
49472820,Terminal-Bench-Science: Evaluating AI agents on scientific research workflows,science,117,36,matt_d,2026-09-01 15:24:24.845087,0.3050847457627119,False
49464314,"MIT's Ad Hoc Committee on AI Use in Teaching, Learning, and Research Training",science,144,83,pbui,2026-09-01 15:24:24.845108,0.5724137931034483,True
49514285,SpaceX designed an orbital Vera Rubin. Radiation comes next,science,8,1,CrankyBear,2026-09-01 15:24:24.845146,0.1111111111111111,False
49493244,What we want is a hunter gatherer lifestyle with space age tools (2022),science,81,102,bilsbie,2026-09-01 15:24:24.845159,1.2439024390243902,False
49489376,Show HN: Laser Graffiti,entertainment,190,40,con,2026-09-01 15:24:24.845173,0.2094240837696335,True
49514729,Show HN: Markdown Viewer and Editor,entertainment,26,11,beerglass,2026-09-01 15:24:24.845207,0.4074074074074074,False
49475159,"Show HN: FnScribe – Open-source, offline dictation for macOS",entertainment,34,23,modagent,2026-09-01 15:24:24.845219,0.6571428571428571,False
49507908,Show HN: Floe – an open-source plugin for sample libraries – CLAP/VST3/AU,entertainment,19,10,windell,2026-09-01 15:24:24.845243,0.5,False
49508735,Show HN: SlideOps – slides from a repo that flag when they drift from the code,entertainment,21,5,lukicov,2026-09-01 15:24:24.845256,0.22727272727272727,False
49516118,Show HN: Saccade – Live semantic browser truth for AI agents,entertainment,5,0,sacravenger,2026-09-01 15:24:24.845268,0.0,False
49510540,"Apache Iggy, a message streaming platform in Rust, graduates to an Apache TLP",entertainment,94,27,spetz,2026-09-01 15:24:24.845279,0.28421052631578947,False
49510547,Show HN: What Happens When You Give Your AI Agents a Voice and an Attitude,entertainment,9,5,pcbmaker20,2026-09-01 15:24:24.845290,0.5,False
49478426,Show HN: NFC Energy-Harvesting PCB Business Card with an MCU,entertainment,216,30,WilsonHarper,2026-09-01 15:24:24.845311,0.1382488479262673,True
49438865,"Show HN: I missed the moving blocks, so I built a real Linux disk defragmenter",entertainment,96,68,gbin,2026-09-01 15:24:24.845372,0.7010309278350515,False
49508043,"DIY archivists push budget Nikons to 902,000 clicks to save 1,800 rare books",entertainment,46,2,throwaway2037,2026-09-01 15:24:24.845383,0.0425531914893617,False
49447178,Show HN: Typebase – A single-folder back end you write in TypeScript,entertainment,118,46,andrewww-dev,2026-09-01 15:24:24.845407,0.3865546218487395,False
49515738,Apple reveals 'shocking evidence' from ex-employee's MacBook in OpenAI suit,entertainment,9,0,spenvo,2026-09-01 15:24:24.845444,0.0,False
49461817,Show HN: The load-bearing vocabulary of Claude,entertainment,700,326,Labo333,2026-09-01 15:24:24.845490,0.46504992867332384,True
49476894,Show HN: SubSmith – Turn your own videos into language-learning material,entertainment,76,51,IbrahimF96,2026-09-01 15:24:24.845504,0.6623376623376623,False
49433573,My life was changed by four sentences in four books,entertainment,43,20,surprisetalk,2026-09-01 15:24:24.845525,0.45454545454545453,False
49505062,"SolarWindow launches 0.85 mm-thick, self-adhesive solar film",entertainment,32,21,thelastgallon,2026-09-01 15:24:24.845536,0.6363636363636364,False
